completion_pct,total_duration_days,elapsed_days,days_remaining,daily_velocity,log_frequency,labor_count,budget_ratio,total_logs,category,weather_factor,delay_days,actual_total_days,is_delayed
26.76,468,119,349,0.2249,0.4,79,0.25,47,water,0.69,21,489,1
100.0,488,451,37,0.2217,0.65,25,0.99,293,road,0.6,0,488,0
35.11,654,405,249,0.0867,0.657,194,0.468,265,education,0.83,118,772,1
91.02,310,257,53,0.3541,0.954,77,0.614,245,education,1.18,0,310,0
34.23,181,85,96,0.4027,0.918,12,0.342,78,electricity,0.76,53,234,1
18.66,754,208,546,0.0897,0.394,18,0.314,81,healthcare,0.94,43,797,1
96.79,660,539,121,0.1796,0.421,115,0.979,226,housing,0.77,0,660,0
11.13,154,17,137,0.6549,0.105,133,0.093,1,electricity,1.09,10,164,0
18.64,558,90,468,0.2072,0.865,45,0.204,77,education,0.87,0,558,0
78.07,1169,841,328,0.0928,0.208,39,0.708,174,housing,1.03,3,1172,0
23.96,1235,165,1070,0.1452,0.197,94,0.096,32,housing,0.62,0,1235,0
29.34,341,74,267,0.3964,0.306,147,0.252,22,water,0.65,0,341,0
86.68,1046,823,223,0.1053,0.297,138,0.766,244,healthcare,0.85,0,1046,0
70.99,350,304,46,0.2335,0.836,31,0.833,254,water,1.12,19,369,1
20.17,497,143,354,0.141,0.602,122,0.24,86,road,0.84,14,511,0
36.24,928,287,641,0.1263,0.356,135,0.273,102,healthcare,0.62,0,928,0
59.75,1219,410,809,0.1457,0.578,151,0.373,236,housing,0.87,21,1240,1
43.25,363,109,254,0.3968,0.985,28,0.297,107,road,0.84,5,368,0
66.33,303,161,142,0.412,0.71,7,0.561,114,education,0.61,0,303,0
44.91,536,234,302,0.1919,0.407,108,0.343,95,water,0.67,8,544,0
52.73,988,565,423,0.0933,0.969,6,0.742,547,healthcare,0.93,6,994,0
51.74,412,163,249,0.3174,0.807,79,0.501,131,education,1.0,12,424,0
100.0,874,785,89,0.1274,0.687,198,1.003,539,housing,0.73,0,874,0
51.76,577,217,360,0.2385,0.588,149,0.333,127,education,0.91,4,581,0
49.67,1410,433,977,0.1147,0.415,31,0.295,179,housing,0.99,0,1410,0
36.94,632,186,446,0.1986,0.523,21,0.383,97,education,0.77,3,635,0
100.0,463,340,123,0.2941,0.868,99,0.94,295,housing,0.78,0,463,0
28.28,250,92,158,0.3074,0.163,62,0.465,15,electricity,0.73,42,292,1
74.92,1003,542,461,0.1382,0.223,21,0.654,120,healthcare,1.03,0,1003,0
90.96,772,676,96,0.1346,0.275,61,0.943,185,healthcare,0.64,0,772,0
12.68,650,80,570,0.1585,0.132,36,0.129,10,road,0.88,0,650,0
8.55,934,117,817,0.0731,0.583,74,0.111,68,healthcare,0.8,53,987,1
37.07,227,142,85,0.2611,0.225,51,0.705,31,water,0.68,113,340,1
8.87,1034,139,895,0.0638,0.171,23,0.13,23,healthcare,0.62,65,1099,1
81.14,237,208,29,0.3901,0.352,93,0.962,73,education,1.17,56,293,1
13.96,336,47,289,0.297,0.113,183,0.162,5,electricity,0.67,4,340,0
22.04,519,95,424,0.232,0.518,43,0.166,49,water,0.99,0,519,0
74.2,1023,539,484,0.1377,0.654,73,0.586,352,healthcare,1.17,11,1034,0
39.57,297,174,123,0.2274,0.947,193,0.603,164,water,0.83,93,390,1
16.57,407,108,299,0.1535,0.447,85,0.291,48,healthcare,1.01,36,443,1
55.33,375,258,117,0.2145,0.762,79,0.845,196,road,1.08,31,406,1
59.68,821,478,343,0.1248,0.938,100,0.528,448,healthcare,1.12,3,824,0
56.98,704,513,191,0.1111,0.388,88,0.872,199,education,1.14,44,748,1
58.84,352,288,64,0.2043,0.956,32,1.042,275,water,0.94,85,437,1
34.73,158,55,103,0.6315,0.202,155,0.408,11,electricity,1.16,7,165,0
51.85,762,432,330,0.12,0.719,150,0.727,310,healthcare,1.1,6,768,0
64.87,534,233,301,0.2784,0.176,198,0.327,41,housing,1.19,0,534,0
100.0,264,238,26,0.4202,0.737,136,0.824,175,water,0.89,14,278,0
14.91,895,174,721,0.0857,0.614,145,0.183,106,healthcare,1.04,9,904,0
47.32,180,122,58,0.3879,0.301,157,0.829,36,education,1.18,18,198,1
7.21,238,32,206,0.2252,0.972,168,0.141,31,electricity,0.91,62,300,1
98.45,1020,741,279,0.1329,0.269,121,0.629,199,housing,0.88,0,1020,0
36.15,680,405,275,0.0893,0.643,165,0.564,260,healthcare,0.76,30,710,1
91.83,432,388,44,0.2367,0.174,51,1.126,67,road,1.13,0,432,0
100.0,553,436,117,0.2294,0.775,181,0.731,337,education,0.84,2,555,0
41.17,284,128,156,0.3216,0.832,59,0.552,106,education,1.2,6,290,0
100.0,112,84,28,1.1905,0.326,82,0.62,27,electricity,0.76,6,118,0
23.27,488,362,126,0.0643,0.867,7,0.752,313,water,0.93,102,590,1
26.74,1127,499,628,0.0536,0.806,51,0.422,402,housing,0.98,81,1208,1
100.0,1128,1052,76,0.0951,0.413,183,1.16,434,housing,0.91,20,1148,1
85.59,149,93,56,0.9203,0.982,88,0.613,91,water,0.9,7,156,0
49.08,215,137,78,0.3583,0.47,108,0.714,64,electricity,1.12,48,263,1
9.55,425,111,314,0.086,0.413,9,0.239,45,healthcare,0.62,78,503,1
54.26,322,129,193,0.4206,0.819,159,0.291,105,electricity,0.98,0,322,0
53.79,471,415,56,0.1296,0.988,117,0.934,409,housing,0.92,142,613,1
73.83,838,625,213,0.1181,0.133,134,0.857,83,housing,0.75,5,843,0
35.09,727,401,326,0.0875,0.318,42,0.563,127,housing,0.76,48,775,1
22.73,403,150,253,0.1515,0.527,149,0.339,78,healthcare,0.81,64,467,1
72.03,475,283,192,0.2545,0.488,115,0.684,138,healthcare,0.68,0,475,0
43.18,684,400,284,0.108,0.94,113,0.526,376,healthcare,0.6,29,713,1
12.1,988,233,755,0.0519,0.146,59,0.285,34,housing,0.61,74,1062,1
100.0,832,768,64,0.1302,0.542,138,1.187,416,housing,1.03,5,837,0
71.77,571,288,283,0.2492,0.391,137,0.41,112,road,0.86,0,571,0
44.44,269,202,67,0.22,0.533,130,0.597,107,education,0.92,27,296,1
62.53,374,211,163,0.2964,0.713,88,0.483,150,healthcare,1.06,0,374,0
39.05,729,328,401,0.1191,0.934,80,0.417,306,road,1.03,0,729,0
54.89,356,276,80,0.1989,0.268,34,0.927,73,electricity,0.74,80,436,1
37.63,496,182,314,0.2068,0.516,108,0.342,93,housing,0.78,19,515,1
80.89,324,280,44,0.2889,0.488,183,0.887,136,education,0.8,46,370,1
33.8,812,196,616,0.1725,0.905,37,0.247,177,healthcare,1.07,0,812,0
29.0,343,93,250,0.3118,0.408,9,0.336,37,electricity,1.09,0,343,0
11.69,225,51,174,0.2292,0.111,80,0.265,5,electricity,0.96,62,287,1
27.7,647,254,393,0.109,0.953,27,0.385,241,healthcare,0.69,48,695,1
43.12,1349,428,921,0.1007,0.609,175,0.4,260,housing,1.02,2,1351,0
26.01,968,404,564,0.0644,0.941,55,0.478,380,healthcare,1.16,49,1017,1
29.54,784,161,623,0.1835,0.441,172,0.219,71,housing,1.05,10,794,0
83.89,800,615,185,0.1364,0.412,94,0.963,253,healthcare,0.81,0,800,0
29.47,711,344,367,0.0857,0.249,156,0.507,85,healthcare,0.62,42,753,1
23.45,152,51,101,0.4597,0.26,118,0.369,13,electricity,1.18,20,172,1
38.69,706,121,585,0.3198,0.484,145,0.162,58,housing,1.08,0,706,0
61.45,396,197,199,0.3119,0.798,23,0.368,157,housing,0.87,0,396,0
36.87,866,411,455,0.0897,0.168,133,0.427,69,healthcare,1.05,25,891,1
24.53,341,152,189,0.1614,0.693,36,0.505,105,road,0.62,37,378,1
27.0,507,95,412,0.2843,0.319,12,0.143,30,road,1.03,0,507,0
100.0,855,785,70,0.1274,0.112,59,1.137,87,housing,0.65,0,855,0
34.97,236,48,188,0.7285,0.408,133,0.243,19,electricity,0.76,9,245,0
39.82,1071,644,427,0.0618,0.365,141,0.579,235,healthcare,1.17,81,1152,1
80.5,337,173,164,0.4653,0.536,132,0.416,92,education,0.91,8,345,0
37.96,538,153,385,0.2481,0.911,8,0.222,139,education,1.01,9,547,0
48.37,131,77,54,0.6282,0.548,21,0.556,42,electricity,1.03,15,146,1
100.0,391,338,53,0.2959,0.923,57,0.697,311,housing,0.85,15,406,1
32.18,309,167,142,0.1927,0.794,55,0.408,132,water,0.64,92,401,1
100.0,691,606,85,0.165,0.697,58,0.866,422,road,1.16,0,691,0
38.86,358,115,243,0.338,0.637,85,0.322,73,water,0.8,0,358,0
72.78,475,341,134,0.2134,0.514,175,0.761,175,education,0.65,0,475,0
82.57,196,177,19,0.4665,0.962,51,0.683,170,road,1.06,61,257,1
92.53,664,457,207,0.2025,0.146,147,0.768,66,education,1.0,0,664,0
64.42,380,336,44,0.1917,0.758,18,0.685,254,healthcare,0.72,36,416,1
69.19,656,330,326,0.2097,0.57,171,0.49,188,road,0.99,0,656,0
77.55,307,156,151,0.4971,0.752,175,0.46,117,water,0.64,4,311,0
40.6,299,162,137,0.2506,0.122,112,0.455,19,electricity,1.12,14,313,0
60.96,230,98,132,0.622,0.986,20,0.522,96,electricity,1.06,0,230,0
67.01,538,292,246,0.2295,0.367,124,0.475,107,education,0.74,0,538,0
7.47,611,70,541,0.1067,0.961,92,0.089,67,education,1.08,25,636,1
100.0,317,296,21,0.3378,0.652,92,0.917,193,water,0.7,1,318,0
41.61,332,177,155,0.2351,0.268,61,0.446,47,electricity,1.07,31,363,1
100.0,143,132,11,0.7576,0.997,182,0.919,131,electricity,1.14,0,143,0
28.12,299,219,80,0.1284,0.9,127,0.572,197,road,1.17,136,435,1
64.64,642,421,221,0.1536,0.327,191,0.571,137,education,0.6,0,642,0
56.45,818,750,68,0.0753,0.866,32,0.684,649,healthcare,0.9,90,908,1
71.32,204,163,41,0.4375,0.818,37,0.983,133,electricity,1.0,59,263,1
52.55,542,164,378,0.3204,0.777,104,0.324,127,road,0.7,0,542,0
100.0,446,354,92,0.2825,0.358,16,0.56,126,housing,0.97,0,446,0
14.65,1064,114,950,0.1285,0.117,74,0.094,13,healthcare,0.86,0,1064,0
32.43,401,75,326,0.4324,0.953,100,0.218,71,housing,0.7,7,408,0
13.46,1069,159,910,0.0847,0.708,54,0.193,112,housing,0.87,3,1072,0
21.85,500,213,287,0.1026,0.715,164,0.495,152,water,0.87,44,544,1
49.61,93,42,51,1.1812,0.843,43,0.47,35,electricity,0.78,4,97,0
31.84,141,29,112,1.098,0.489,130,0.167,14,water,1.17,18,159,1
57.42,934,803,131,0.0715,0.881,193,0.705,707,housing,1.03,89,1023,1
36.24,327,183,144,0.198,0.664,54,0.65,121,water,0.68,19,346,1
74.99,497,310,187,0.2419,0.638,157,0.437,197,water,0.96,3,500,0
34.74,680,223,457,0.1558,0.235,143,0.424,52,education,0.88,0,680,0
100.0,375,259,116,0.3861,0.752,106,0.86,194,housing,1.05,0,375,0
74.11,456,317,139,0.2338,0.165,164,0.882,52,housing,0.92,0,456,0
74.65,530,308,222,0.2424,0.251,147,0.478,77,healthcare,0.66,13,543,0
54.07,373,334,39,0.1619,0.942,164,0.788,314,housing,1.17,106,479,1
64.33,437,271,166,0.2374,0.507,138,0.739,137,water,0.99,19,456,1
6.23,193,32,161,0.1948,0.396,49,0.181,12,education,0.88,94,287,1
23.06,208,97,111,0.2377,0.747,48,0.484,72,electricity,0.74,117,325,1
